ACCESSION: NGA00852
RECORD_TITLE: Yuccagenin; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Sapogenins
CH$NAME: Yuccagenin
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C27H42O4
CH$EXACT_MASS: 430.63339
CH$SMILES: CC1CC[C@@]2(OC1)OC1CC3C4CC=C5CC(O)[C@H](O)C[C@]5(C)C4CC[C@]3(C)C1[C@@H]2C
CH$IUPAC: InChI=1S/C27H42O4/c1-15-7-10-27(30-14-15)16(2)24-23(31-27)12-20-18-6-5-17-11-21(28)22(29)13-26(17,4)19(18)8-9-25(20,24)3/h5,15-16,18-24,28-29H,6-14H2,1-4H3/t15?,16-,18?,19?,20?,21?,22+,23?,24?,25-,26-,27+/m0/s1
CH$LINK: CAS 511-97-7
CH$LINK: PUBCHEM CID:2340787
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-2980000000-b69546b94233f450a3ed
PK$NUM_PEAK: 194
PK$PEAK: m/z int. rel.int.
  68.3 1.44 1
  68.4 3.36 3
  68.5 5.72 5
  68.6 8.38 8
  68.7 12.12 12
  68.8 17.82 17
  68.9 24.75 24
  69.0 30.5 30
  69.1 32.88 32
  69.2 31.11 31
  69.3 25.3 25
  69.4 16.37 16
  69.5 7.13 7
  69.6 0.85 0
  72.7 1.67 1
  72.8 2.96 2
  72.9 4.3 4
  73.0 5.23 5
  73.1 5.43 5
  73.2 4.71 4
  73.3 3.21 3
  96.6 3.57 3
  96.7 4.58 4
  96.8 6.08 6
  96.9 7.87 7
  97.0 9.04 9
  97.1 8.62 8
  97.2 6.56 6
  97.3 3.92 3
  106.6 1.08 1
  106.7 2.82 2
  106.8 5.47 5
  106.9 7.84 7
  107.0 8.48 8
  107.1 7.18 7
  107.2 5.13 5
  107.3 3.41 3
  108.5 2.04 2
  108.6 3.3 3
  108.7 5.38 5
  108.8 8.07 8
  108.9 10.85 10
  109.0 13.03 13
  109.1 13.69 13
  109.2 12.03 12
  109.3 8.24 8
  109.4 3.9 3
  114.7 2.14 2
  114.8 3.95 3
  114.9 5.68 5
  115.0 6.41 6
  115.1 6.08 6
  115.2 5.03 5
  115.3 3.47 3
  120.3 1.47 1
  120.4 2.71 2
  120.5 4.7 4
  120.6 7.54 7
  120.7 11.32 11
  120.8 16.11 16
  120.9 21.14 21
  121.0 24.45 24
  121.1 24.69 24
  121.2 22.36 22
  121.3 18.45 18
  121.4 13.07 13
  121.5 6.83 6
  121.6 1.78 1
  142.6 1.47 1
  142.7 3.21 3
  142.8 5.09 5
  142.9 6.34 6
  143.0 6.59 6
  143.1 6.05 6
  143.2 5.03 5
  143.3 3.76 3
  144.6 3.1 3
  144.7 4.82 4
  144.8 6.45 6
