ACCESSION: WA002389
RECORD_TITLE: Beclomethasone dipropionate; LC-ESI-Q; MS; POS; 60 V
DATE: 2016.01.19 (Created 2007.08.01, modified 2012.05.21)
AUTHORS: Nihon Waters K.K.
LICENSE: CC BY-NC
CH$NAME: Beclomethasone dipropionate
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C28H37ClO7
CH$EXACT_MASS: 520.22278
CH$SMILES: C(C(OC(=O)CC)4C(=O)COC(=O)CC)(C3([H])CC(C)4)(CC(O)C(C23[H])(C(C=1CC2)(C=CC(=O)C1)C)Cl)C
CH$IUPAC: InChI=1S/C28H37ClO7/c1-6-23(33)35-15-22(32)28(36-24(34)7-2)16(3)12-20-19-9-8-17-13-18(30)10-11-25(17,4)27(19,29)21(31)14-26(20,28)5/h10-11,13,16,19-21,31H,6-9,12,14-15H2,1-5H3/t16-,19-,20-,21-,25-,26-,27-,28-/m0/s1
CH$LINK: CAS 5534-09-8
CH$LINK: INCHIKEY KUVIULQEHSCUHY-XYWKZLDCSA-N
AC$INSTRUMENT: ZQ, Waters
AC$INSTRUMENT_TYPE: LC-ESI-Q
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: RETENTION_TIME 19.800 min
AC$CHROMATOGRAPHY: COLUMN_NAME 2.1 mm id - 3. 5{mu}m XTerra C18MS
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 35 C
AC$CHROMATOGRAPHY: SAMPLING_CONE 60 V
MS$DATA_PROCESSING: FIND_PEAK ignore rel.int. < 5
PK$SPLASH: splash10-00p1-0984010000-c8d2e450312f14d4298f
PK$NUM_PEAK: 199
PK$PEAK: m/z int. rel.int.
  105 71 71
  107 243 243
  109 153 153
  111 51 51
  115 717 717
  116 31 31
  117 35 35
  119 219 219
  121 678 678
  122 90 90
  123 133 133
  125 55 55
  131 74 74
  133 212 212
  135 960 960
  136 71 71
  137 94 94
  143 55 55
  145 145 145
  147 850 850
  148 78 78
  149 106 106
  151 188 188
  153 231 231
  155 39 39
  157 118 118
  159 247 247
  161 223 223
  163 78 78
  165 51 51
  167 94 94
  169 98 98
  171 545 545
  172 59 59
  173 302 302
  174 27 27
  175 82 82
  177 78 78
  179 43 43
  181 43 43
  183 90 90
  185 470 470
  186 59 59
  187 192 192
  189 47 47
  191 35 35
  193 47 47
  195 82 82
  197 153 153
  199 137 137
  201 51 51
  203 39 39
  205 59 59
  207 78 78
  208 20 20
  209 168 168
  210 27 27
  211 192 192
  212 27 27
  213 74 74
  215 47 47
  217 27 27
  219 67 67
  221 208 208
  222 39 39
  223 270 270
  224 67 67
  225 114 114
  227 59 59
  229 67 67
  230 20 20
  231 47 47
  233 78 78
  234 27 27
  235 188 188
  236 27 27
  237 161 161
  238 20 20
  239 106 106
  240 20 20
  241 31 31
  243 35 35
  245 59 59
  246 27 27
  247 86 86
  248 63 63
  249 223 223
  250 47 47
  251 71 71
  252 16 16
  253 35 35
  255 35 35
  257 86 86
  258 35 35
  259 114 114
  260 55 55
  261 215 215
  262 110 110
  263 498 498
  264 106 106
  265 51 51
  267 55 55
  269 24 24
  271 67 67
  272 67 67
  273 125 125
  274 31 31
  275 247 247
  276 86 86
  277 607 607
  278 204 204
  279 999 999
  280 188 188
  281 59 59
  283 16 16
  284 165 165
  285 31 31
  286 129 129
  287 55 55
  289 161 161
  290 24 24
  291 564 564
  292 114 114
  293 35 35
  295 86 86
  296 125 125
  297 149 149
  298 16 16
  299 43 43
  301 776 776
  302 180 180
  303 39 39
  304 31 31
  305 39 39
  306 24 24
  307 74 74
  308 16 16
  309 94 94
  311 43 43
  313 63 63
  314 27 27
  315 35 35
  316 12 12
  317 31 31
  319 646 646
  320 145 145
  321 24 24
  322 16 16
  323 12 12
  325 27 27
  327 47 47
  328 16 16
  329 16 16
  331 12 12
  333 16 16
  335 43 43
  337 611 611
  338 137 137
  339 59 59
  343 12 12
  345 16 16
  347 12 12
  351 12 12
  355 184 184
  356 35 35
  357 51 51
  364 51 51
  365 20 20
  369 12 12
  373 176 176
  374 16 16
  375 137 137
  376 31 31
  383 27 27
  391 39 39
  393 259 259
  394 59 59
  399 16 16
  411 153 153
  412 31 31
  429 153 153
  430 31 31
  431 63 63
  433 16 16
  447 16 16
  485 27 27
  503 470 470
  504 102 102
  505 168 168
  506 43 43
  507 12 12
  521 298 298
  522 59 59
  523 125 125
  524 24 24
  538 20 20
  543 27 27
  559 20 20
  567 43 43
//
