ACCESSION: WA002388
RECORD_TITLE: Beclomethasone dipropionate; LC-ESI-Q; MS; POS; 75 V, 90 V
DATE: 2016.01.19 (Created 2007.08.01, modified 2012.05.21)
AUTHORS: Nihon Waters K.K.
LICENSE: CC BY-NC
CH$NAME: Beclomethasone dipropionate
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C28H37ClO7
CH$EXACT_MASS: 520.22278
CH$SMILES: C(C(OC(=O)CC)4C(=O)COC(=O)CC)(C3([H])CC(C)4)(CC(O)C(C23[H])(C(C=1CC2)(C=CC(=O)C1)C)Cl)C
CH$IUPAC: InChI=1S/C28H37ClO7/c1-6-23(33)35-15-22(32)28(36-24(34)7-2)16(3)12-20-19-9-8-17-13-18(30)10-11-25(17,4)27(19,29)21(31)14-26(20,28)5/h10-11,13,16,19-21,31H,6-9,12,14-15H2,1-5H3/t16-,19-,20-,21-,25-,26-,27-,28-/m0/s1
CH$LINK: CAS 5534-09-8
CH$LINK: INCHIKEY KUVIULQEHSCUHY-XYWKZLDCSA-N
AC$INSTRUMENT: ZQ, Waters
AC$INSTRUMENT_TYPE: LC-ESI-Q
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: RETENTION_TIME 19.800 min
AC$CHROMATOGRAPHY: COLUMN_NAME 2.1 mm id - 3. 5{mu}m XTerra C18MS
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 35 C
AC$CHROMATOGRAPHY: SAMPLING_CONE 75 V, 90 V
MS$DATA_PROCESSING: FIND_PEAK ignore rel.int. < 5
PK$SPLASH: splash10-00ds-0961000000-efe80b89ca0c4a078680
PK$NUM_PEAK: 199
PK$PEAK: m/z int. rel.int.
  105 243 243
  107 447 447
  109 172 172
  111 43 43
  115 368 368
  117 125 125
  119 368 368
  121 999 999
  122 168 168
  123 98 98
  125 59 59
  128 39 39
  129 71 71
  131 137 137
  132 27 27
  133 251 251
  135 831 831
  136 71 71
  137 67 67
  139 31 31
  141 55 55
  142 39 39
  143 180 180
  145 251 251
  147 956 956
  148 74 74
  149 90 90
  151 102 102
  153 149 149
  155 74 74
  156 39 39
  157 172 172
  158 63 63
  159 345 345
  161 259 259
  162 24 24
  163 63 63
  165 51 51
  167 71 71
  168 24 24
  169 106 106
  170 27 27
  171 568 568
  172 71 71
  173 286 286
  174 27 27
  175 82 82
  177 63 63
  179 59 59
  181 71 71
  183 114 114
  185 439 439
  186 47 47
  187 157 157
  189 47 47
  191 51 51
  193 74 74
  194 24 24
  195 121 121
  196 47 47
  197 192 192
  198 39 39
  199 121 121
  201 35 35
  203 39 39
  205 86 86
  206 20 20
  207 110 110
  208 67 67
  209 231 231
  210 63 63
  211 161 161
  212 35 35
  213 51 51
  215 43 43
  216 20 20
  217 43 43
  219 78 78
  220 31 31
  221 274 274
  222 110 110
  223 337 337
  224 121 121
  225 102 102
  227 35 35
  229 51 51
  230 31 31
  231 67 67
  232 27 27
  233 102 102
  234 78 78
  235 243 243
  236 71 71
  237 149 149
  238 24 24
  239 67 67
  241 31 31
  243 47 47
  244 27 27
  245 102 102
  246 59 59
  247 118 118
  248 129 129
  249 219 219
  250 59 59
  251 74 74
  253 39 39
  255 20 20
  257 63 63
  258 43 43
  259 106 106
  260 71 71
  261 200 200
  262 184 184
  263 427 427
  264 118 118
  265 35 35
  267 27 27
  268 16 16
  269 20 20
  271 63 63
  272 55 55
  273 82 82
  274 43 43
  275 137 137
  276 110 110
  277 360 360
  278 184 184
  279 537 537
  280 98 98
  281 35 35
  283 16 16
  284 141 141
  285 31 31
  286 125 125
  287 59 59
  288 16 16
  289 114 114
  290 43 43
  291 302 302
  292 59 59
  293 24 24
  295 43 43
  296 51 51
  297 67 67
  299 39 39
  301 478 478
  302 106 106
  303 27 27
  304 24 24
  305 31 31
  306 31 31
  307 43 43
  309 47 47
  311 16 16
  313 27 27
  314 20 20
  315 16 16
  317 20 20
  319 259 259
  320 63 63
  322 16 16
  325 16 16
  327 24 24
  335 12 12
  337 255 255
  338 39 39
  339 27 27
  355 63 63
  356 12 12
  357 12 12
  364 31 31
  367 12 12
  373 51 51
  375 39 39
  383 20 20
  384 12 12
  391 16 16
  393 102 102
  394 20 20
  399 27 27
  411 55 55
  412 16 16
  429 67 67
  430 12 12
  431 27 27
  433 20 20
  447 12 12
  503 161 161
  504 43 43
  505 67 67
  506 12 12
  507 12 12
  521 153 153
  522 35 35
  523 86 86
  538 12 12
  543 20 20
  559 12 12
//
