ACCESSION: MSBNK-BAFG-CSL25011012786
RECORD_TITLE: Cyproterone; LC-ESI-QTOF; MS2; 70 V
DATE: 2025.01.10
AUTHORS: Ole Lessmann; Kevin S. Jewell; Bjoern Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: Cyproterone
CH$COMPOUND_CLASS: Pharmaceutical
CH$FORMULA: C22H27ClO3
CH$EXACT_MASS: 374.1649
CH$SMILES: CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)O
CH$IUPAC: InChI=1S/C22H27ClO3/c1-11(24)22(26)7-5-14-12-9-18(23)17-10-19(25)13-8-16(13)21(17,3)15(12)4-6-20(14,22)2/h9-10,12-16,26H,4-8H2,1-3H3
CH$LINK: CAS 2098-66-0
CH$LINK: INCHIKEY DUSHUSLJJMDGTE-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF 5600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 70
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 deg C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 11.881 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 375.1721
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 24.4
PK$SPLASH: splash10-002f-1930000000-38942d7f407492d4e679
PK$NUM_PEAK: 134
PK$PEAK: m/z int. rel.int.
  43.0178 4.5 510
  55.0533 0.7 79
  59.0499 0.8 90
  65.0394 0.6 68
  67.0553 0.8 90
  77.0387 3.3 374
  79.0541 2.6 295
  81.0697 0.8 90
  83.0491 0.5 56
  87.0439 0.5 56
  91.0538 8.8 999
  93.069 1.8 204
  94.0396 0.5 56
  95.0474 0.4 45
  95.0836 0.6 68
  103.0549 1.3 147
  105.0705 6.4 726
  107.0497 0.8 90
  107.0858 0.9 102
  109.0634 0.5 56
  111.0812 1.0 113
  115.0534 4.5 510
  116.061 1.4 158
  117.0696 3.0 340
  119.0854 2.3 261
  121.063 0.7 79
  121.0971 0.5 56
  127.055 2.3 261
  128.0617 5.4 613
  129.0691 4.0 454
  130.0773 1.3 147
  131.0478 1.0 113
