ACCESSION: MSBNK-BAFG-CSL2501069909
RECORD_TITLE: Dexamethasone; LC-ESI-QTOF; MS2; 40 V
DATE: 2025.01.06
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
COMMENT: Acquisition method: 10.1002/rcm.8541
CH$NAME: Dexamethasone
CH$COMPOUND_CLASS: Pharmaceutical
CH$FORMULA: C22H29FO5
CH$EXACT_MASS: 392.1999
CH$SMILES: C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
CH$IUPAC: InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1
CH$LINK: CAS 50-02-2
CH$LINK: INCHIKEY UREBDLICKHMUKA-CXSFZGCWSA-N
AC$INSTRUMENT: TripleTOF 5600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 40
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 °C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 9.089 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 393.2072
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 24.4
PK$SPLASH: splash10-00dj-0791000000-325efad94f1f0e2cf22a
PK$NUM_PEAK: 272
PK$PEAK: m/z int. rel.int.
  43.0309 1.5 33
  67.0607 1.5 33
  69.0394 0.8 17
  69.0754 1.1 24
  71.02 0.5 11
  71.0544 0.8 17
  77.0429 2.1 46
  79.059 2.4 52
  81.075 1.5 33
  83.0527 0.8 17
  85.0684 0.6 13
  91.0582 7.1 156
  93.0743 5.2 114
  95.0529 1.8 39
  95.0887 5.4 119
  97.0669 1.4 30
  99.0476 0.5 11
  103.0574 0.6 13
  105.0725 7.0 154
  107.0503 0.9 19
  107.0882 11.4 251
  109.0678 2.1 46
  109.1035 3.0 66
  111.0828 1.2 26
  115.0567 1.3 28
  115.0766 0.8 17
  116.0651 1.0 22
  117.0579 0.5 11
  117.0714 2.3 50
  119.0876 10.0 220
  121.0669 16.0 352
  121.1044 3.5 77
  123.0831 2.9 63
  125.0619 3.3 72
  125.0985 1.0 22
  127.0616 0.5 11
  128.0639 2.8 61
  129.0719 2.2 48
  131.0502 0.9 19
  131.0874 7.4 163
  132.0586 1.7 37
  133.0676 3.5 77
  133.1025 4.0 88
  135.0822 12.3 271
  137.063 1.1 24
  137.0979 3.4 74
  141.0698 2.4 52
  142.0791 1.5 33
  143.086 7.6 167
  144.0609 1.3 28
  145.0653 6.2 136
  145.1016 3.8 83
  146.0757 1.3 28
  147.0815 45.3 999
  149.0975 6.5 143
  151.0778 2.0 44
  151.1099 0.8 17
  152.0657 0.6 13
  153.0728 1.1 24
  153.0911 2.7 59
  154.0777 0.5 11
  155.0889 3.3 72
  156.0935 0.5 11
  157.0647 1.0 22
  157.1041 2.6 57
  158.0746 3.0 66
  159.0822 15.7 346
  159.116 0.5 11
  160.0949 0.5 11
  161.0587 0.7 15
  161.0971 9.1 200
  163.0774 1.7 37
  163.1107 0.8 17
  165.071 2.5 55
  165.09 1.5 33
  166.0735 0.6 13
  167.084 3.4 74
  167.1085 0.6 13
  168.0578 0.7 15
  168.0938 0.6 13
  169.0647 2.5 55
  169.1026 2.7 59
  170.0741 1.3 28
  171.0808 24.1 531
  171.1191 0.8 17
  172.0861 1.2 26
  173.0962 15.8 348
  175.0754 0.5 11
  175.1108 1.6 35
  177.0908 5.3 116
  178.0779 1.7 37
  179.0864 4.2 92
  180.0927 1.0 22
  181.0638 1.8 39
  181.1022 2.4 52
  182.0721 1.4 30
  182.1108 0.6 13
  183.0811 3.8 83
  183.107 0.6 13
  183.1193 1.0 22
  184.0881 1.0 22
  185.0581 0.7 15
  185.0959 13.1 288
  187.0763 5.3 116
  187.1098 5.9 130
  189.0703 1.2 26
  189.0852 1.7 37
  189.1238 0.5 11
  190.0752 1.1 24
  191.0852 1.4 30
  192.0947 2.5 55
  193.101 3.7 81
  194.0694 1.0 22
  194.1083 2.4 52
  195.0815 4.1 90
  195.1124 3.3 72
  196.0896 4.0 88
  197.0967 10.4 229
  197.1343 0.8 17
  198.1027 1.5 33
  199.0779 0.9 19
  199.1116 4.0 88
  201.0866 1.0 22
  201.1264 1.7 37
  202.0776 0.8 17
  203.0875 1.5 33
  203.1065 0.9 19
  204.0922 5.3 116
  205.1024 3.3 72
  206.1057 2.3 50
  207.0796 2.1 46
  207.1176 2.3 50
  208.0876 5.9 130
  209.0953 10.7 235
  209.1321 2.5 55
  210.1033 4.9 108
  211.0733 0.5 11
  211.1101 10.4 229
  212.1167 1.7 37
  213.089 1.5 33
  213.1265 7.6 167
  215.0853 0.9 19
  215.1044 4.2 92
  216.0912 0.9 19
  217.1012 1.6 35
  218.1111 1.2 26
  219.0827 1.5 33
  219.1166 5.7 125
  220.0898 2.4 52
  220.1251 0.9 19
  221.0965 9.2 202
  221.1227 0.8 17
  221.136 1.6 35
  222.1041 16.2 357
  223.0698 0.6 13
  223.1118 16.5 363
  224.119 4.8 105
  225.0933 1.3 28
  225.1248 7.7 169
  226.1035 0.5 11
  227.0834 0.6 13
  227.1054 1.8 39
  227.1432 5.6 123
  228.0922 0.5 11
  229.1032 2.2 48
  230.1089 1.5 33
  231.0826 1.0 22
  231.1229 1.7 37
  232.0913 0.9 19
  232.1228 0.7 15
  233.0944 3.0 66
  233.1291 1.3 28
  234.1018 3.2 70
  234.1372 0.8 17
  235.1104 15.4 339
  235.144 0.7 15
  235.153 0.6 13
  236.1223 2.5 55
  237.0837 0.6 13
  237.126 41.5 915
  238.1018 1.2 26
  239.1062 2.8 61
  239.141 14.8 326
  240.1067 0.6 13
  241.12 4.4 97
  242.1112 0.7 15
  243.1143 2.4 52
  244.0833 0.6 13
  244.1234 1.0 22
  245.0965 2.6 57
  245.1284 1.4 30
  246.1031 2.7 59
  246.1408 0.9 19
  247.1131 5.2 114
  247.1411 0.7 15
  248.1194 7.5 165
  249.1257 8.8 194
  249.1611 0.6 13
  249.1737 0.5 11
  250.1347 1.3 28
  251.1073 1.6 35
  251.142 4.9 108
  252.148 1.6 35
  253.1209 7.1 156
  253.153 3.2 70
  255.1401 3.5 77
  256.1254 0.7 15
  257.129 1.4 30
  258.0972 1.3 28
  258.1413 0.7 15
  259.112 2.5 55
  259.1406 1.1 24
  259.1607 0.6 13
  260.1158 2.4 52
  261.1253 9.1 200
  261.1659 1.6 35
  262.1345 7.4 163
  263.1065 0.5 11
  263.1417 18.2 401
  264.1149 0.6 13
  264.1492 2.0 44
  265.1072 0.5 11
  265.1227 0.5 11
  265.1541 3.1 68
  266.167 0.5 11
  267.136 3.8 83
  267.1716 2.3 50
  269.1184 0.5 11
  271.1137 2.5 55
  271.1361 0.5 11
  272.1207 2.0 44
  273.1134 0.7 15
  273.1287 1.6 35
  273.1617 0.8 17
  274.1327 3.2 70
  275.1384 6.4 141
  276.1515 6.0 132
  277.1237 2.1 46
  277.1578 13.7 302
  278.1638 7.1 156
  279.1324 0.8 17
  279.1719 22.2 489
  281.1149 0.5 11
  281.152 1.3 28
  281.1795 1.0 22
  283.1564 0.6 13
  285.1253 0.9 19
  285.142 0.6 13
  286.1347 4.5 99
  289.1157 0.7 15
  289.1567 8.3 183
  290.1359 1.0 22
  291.1371 0.6 13
  291.1715 13.8 304
  293.1457 0.6 13
  293.1612 1.2 26
  295.1251 0.6 13
  295.1673 3.4 74
  296.1805 0.8 17
  297.1788 2.9 63
  301.1558 8.9 196
  304.1426 1.2 26
  306.164 0.8 17
  307.1683 6.8 149
  309.1836 6.3 138
  311.1608 1.2 26
  319.1682 12.6 277
  325.1742 1.9 41
  327.1918 1.3 28
  337.1752 13.1 288
  355.1883 14.7 324
  373.2017 0.7 15
//
