ACCESSION: MSBNK-BAFG-CSL2501068420
RECORD_TITLE: Sunitinib; LC-ESI-QTOF; MS2; 130 V
DATE: 2025.01.06
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
COMMENT: Acquisition method: 10.1002/rcm.8541
CH$NAME: Sunitinib
CH$COMPOUND_CLASS: Pharmaceutical
CH$FORMULA: C22H27FN4O2
CH$EXACT_MASS: 398.2118
CH$SMILES: CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C
CH$IUPAC: InChI=1S/C22H27FN4O2/c1-5-27(6-2)10-9-24-22(29)20-13(3)19(25-14(20)4)12-17-16-11-15(23)7-8-18(16)26-21(17)28/h7-8,11-12,25H,5-6,9-10H2,1-4H3,(H,24,29)(H,26,28)
CH$LINK: CAS 557795-19-4
CH$LINK: INCHIKEY WINHZLLDWRZWRT-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF 5600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 130
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 °C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 6.516 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 399.2191
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 24.4
PK$SPLASH: splash10-0a59-1910000000-8ba05656f3364117d1f2
PK$NUM_PEAK: 189
PK$PEAK: m/z int. rel.int.
  42.0445 0.4 10
  51.0278 1.4 36
  57.0176 0.6 15
  63.0432 0.4 10
  65.0421 2.7 70
  65.0554 0.6 15
  66.0407 0.6 15
  73.0113 0.6 15
  74.0178 5.2 135
  75.026 12.3 319
  76.02 0.7 18
  77.0398 3.3 85
  78.0367 0.9 23
  80.0526 0.8 20
  81.0165 1.1 28
  83.031 4.5 117
  86.0151 0.9 23
  87.0242 1.3 33
  87.0332 0.5 13
  88.0357 0.6 15
  89.0393 2.3 59
  91.0542 0.7 18
  92.0523 0.5 13
  93.0136 0.9 23
  94.0227 0.8 20
  95.0299 7.2 187
  96.0242 0.5 13
  96.038 1.2 31
  97.0086 0.8 20
  98.0169 5.1 132
  98.0406 0.6 15
  99.0234 15.4 400
  100.0185 5.6 145
  101.0384 4.9 127
  102.0335 1.6 41
