ACCESSION: MSBNK-BAFG-CSL25011734607
RECORD_TITLE: N-[2-[(2-Bromo-4,6-dinitrophenyl)azo]-5-(diethylamino)phenyl]acetamide; LC-ESI-QTOF; MS2; 110 V
DATE: 2025.01.17
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: N-[2-[(2-Bromo-4,6-dinitrophenyl)azo]-5-(diethylamino)phenyl]acetamide
CH$FORMULA: C18H19BrN6O5
CH$EXACT_MASS: 478.06
CH$SMILES: CCN(CC)C1=CC(=C(C=C1)N=NC2=C(C=C(C=C2Br)[N+](=O)[O-])[N+](=O)[O-])NC(=O)C
CH$IUPAC: InChI=1S/C18H19BrN6O5/c1-4-23(5-2)12-6-7-15(16(9-12)20-11(3)26)21-22-18-14(19)8-13(24(27)28)10-17(18)25(29)30/h6-10H,4-5H2,1-3H3,(H,20,26)
CH$LINK: CAS 52697-38-8
CH$LINK: INCHIKEY WFFKSTRPZWRBEW-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF 6600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 110
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 °C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 16.579 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 479.0673
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 25.0
PK$SPLASH: splash10-000x-5900000000-8f8d2bf9bd8d2f5dcc5d
PK$NUM_PEAK: 114
PK$PEAK: m/z int. rel.int.
  42.0331 0.7 24
  43.0172 3.4 117
  51.0216 0.6 20
  52.0306 1.5 52
  53.0367 1.4 48
  63.0209 0.5 17
  65.0372 4.1 142
  66.0331 0.9 31
  66.0452 1.2 41
  67.0404 0.4 13
  68.0499 0.4 13
  69.0426 0.5 17
  76.0166 0.5 17
  77.0369 5.8 201
  78.0322 2.7 93
  79.0278 1.2 41
  79.0408 4.6 159
  80.0481 16.6 575
  81.0565 0.9 31
  89.0395 0.7 24
  90.0318 1.1 38
  91.0403 1.4 48
  91.0527 0.9 31
  92.0485 9.0 312
  93.0558 28.8 999
  94.0642 6.8 235
  95.059 0.7 24
  101.0366 0.4 13
  104.049 2.6 90
  105.043 8.1 280
  106.0513 2.3 79
  106.0641 3.7 128
  107.0355 3.7 128
  107.0585 8.1 280
  108.0418 1.7 58
  108.065 0.4 13
  108.0782 1.1 38
  109.0761 0.9 31
  113.0347 0.9 31
  116.0483 0.6 20
  117.0434 1.3 45
  117.0572 2.4 83
  118.0537 2.4 83
  119.0583 8.7 301
  120.0565 2.9 100
  120.0673 1.8 62
  120.0814 0.5 17
  121.0521 0.6 20
  121.0747 20.8 721
  122.0572 0.8 27
  122.0941 0.4 13
  123.0943 0.5 17
  126.0458 0.5 17
  127.0383 0.4 13
  131.0607 1.3 45
  132.0426 0.5 17
  132.069 0.9 31
  133.0597 7.9 274
  133.076 2.4 83
  134.0487 0.5 17
  134.0702 8.6 298
  135.0928 1.1 38
  136.0704 0.5 17
  138.0412 1.0 34
  139.0533 4.4 152
  140.0495 3.5 121
  141.0539 0.6 20
  145.0741 0.6 20
  146.0705 6.0 208
  147.0543 5.7 197
  147.0765 2.6 90
  148.063 4.2 145
  148.0844 0.9 31
  149.1032 1.8 62
  151.0404 0.4 13
  152.0492 1.4 48
  153.0528 1.0 34
  154.0489 0.9 31
  155.0584 1.0 34
  161.0692 1.4 48
  162.0712 0.9 31
  163.0849 1.9 65
  164.048 1.7 58
  165.054 4.7 163
  166.0607 3.7 128
  167.066 2.0 69
  168.0648 0.6 20
  177.0475 0.7 24
  177.0968 0.6 20
  178.0584 1.5 52
  179.0585 2.2 76
  180.0682 0.6 20
  181.0644 1.1 38
  190.0632 0.7 24
  191.0549 0.7 24
  191.1154 0.4 13
  192.0527 0.4 13
  192.0672 1.7 58
  193.0657 1.4 48
  193.0785 0.7 24
  194.0674 3.4 117
  205.0612 0.4 13
  206.0731 2.5 86
  207.0755 0.8 27
  208.0838 0.9 31
  221.0814 5.0 173
  222.0753 0.6 20
  235.0977 0.6 20
  243.9775 0.4 13
  256.9755 0.6 20
  265.1413 0.6 20
  271.9716 0.6 20
  283.9784 1.5 52
  284.9793 0.4 13
//
