ACCESSION: MSBNK-BAFG-CSL25010631484
RECORD_TITLE: Diethylamino hydroxybenzoyl hexyl benzoate; LC-ESI-QTOF; MS2; 80 V
DATE: 2025.01.06
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
COMMENT: Acquisition method: 10.1002/rcm.8541
CH$NAME: Diethylamino hydroxybenzoyl hexyl benzoate
CH$FORMULA: C24H31NO4
CH$EXACT_MASS: 397.2253
CH$SMILES: CCCCCCOC(=O)C1=CC=CC=C1C(=O)C2=C(C=C(C=C2)N(CC)CC)O
CH$IUPAC: InChI=1S/C24H31NO4/c1-4-7-8-11-16-29-24(28)20-13-10-9-12-19(20)23(27)21-15-14-18(17-22(21)26)25(5-2)6-3/h9-10,12-15,17,26H,4-8,11,16H2,1-3H3
CH$LINK: CAS 302776-68-7
CH$LINK: INCHIKEY FDATWRLUYRHCJE-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF 6600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 80
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 °C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 17.769 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 398.2326
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 24.4
PK$SPLASH: splash10-00r2-1930000000-6e24b4ab321250629c7b
PK$NUM_PEAK: 118
PK$PEAK: m/z int. rel.int.
  39.0228 28.7 71
  41.0385 32.3 80
  43.0542 39.6 98
  65.0385 272.1 674
  68.0128 7.2 17
  77.0383 65.7 162
  78.0333 5.4 13
  80.049 80.1 198
  89.0378 7.7 19
  91.0538 19.5 48
  92.0492 13.4 33
  93.0331 220.1 545
  94.0407 5.8 14
  103.0533 9.1 22
  104.0251 6.6 16
  104.0484 5.4 13
  105.0331 82.5 204
  108.044 67.4 167
  109.0512 19.7 48
  110.0605 6.2 15
  113.0372 4.6 11
  115.0537 112.7 279
  118.0641 9.1 22
  119.0118 19.8 49
  120.0437 5.6 13
  121.0297 355.8 881
  122.0591 37.3 92
  126.0455 6.0 14
  127.0534 50.9 126
  128.0612 73.6 182
  129.0692 32.9 81
  133.0271 12.9 31
  136.0376 12.0 29
  136.0745 25.9 64
  138.0447 6.6 16
  139.054 333.1 825
  140.0576 58.2 144
  141.0692 124.5 308
  143.048 20.3 50
  148.0384 6.8 16
  149.0231 329.6 816
  150.0457 5.9 14
  151.0535 95.7 237
  152.0609 150.9 373
  153.0685 83.5 206
  154.0646 81.4 201
  155.0496 31.0 76
  156.0575 13.2 32
  156.0793 26.1 64
  157.0646 14.9 36
  164.0696 119.4 295
  165.0686 71.1 176
  166.0652 65.9 163
  167.0504 167.3 414
  168.057 171.7 425
  169.0638 39.6 98
  170.0354 8.7 21
  170.059 9.2 22
  171.0423 8.4 20
  176.061 17.9 44
  177.0639 28.8 71
  178.0647 51.4 127
  179.0511 10.3 25
  179.0718 12.6 31
  180.0548 48.3 119
  180.0775 40.3 99
  181.0638 68.2 169
  182.06 108.8 269
  182.094 8.8 21
  183.0442 31.3 77
  183.0669 35.5 87
  184.0511 164.4 407
  185.0593 9.7 24
  190.0643 10.7 26
  191.0726 7.1 17
  192.0799 11.3 28
  193.0559 11.3 28
  193.0876 10.3 25
  194.0361 11.7 28
  194.0586 53.5 132
  194.0946 19.4 48
  195.0659 360.4 893
  196.0536 403.1 999
  197.0597 178.7 442
  198.0556 16.6 41
  204.0802 30.3 75
  206.0593 49.7 123
  207.0442 5.2 12
  207.0665 12.1 29
  208.075 69.8 172
  209.0596 9.0 22
  209.0814 9.4 23
  210.0334 34.3 85
  210.0531 70.6 174
  210.09 38.5 95
  211.0626 101.0 250
  212.0694 134.7 333
  220.0751 68.4 169
  221.058 7.2 17
  222.0304 22.3 55
  222.0528 23.2 57
  222.0908 12.6 31
  223.0612 326.2 808
  224.0704 259.7 643
  225.0776 53.4 132
  232.0757 12.7 31
  233.084 7.0 17
  234.0544 22.7 56
  235.0611 13.2 32
  236.0705 10.5 26
  237.0419 21.7 53
  238.05 77.3 191
  238.0822 32.6 80
  240.1015 147.1 364
  248.0678 9.3 23
  251.0544 23.0 57
  252.065 44.2 109
  266.0805 289.8 718
//
