ACCESSION: MSBNK-BAFG-CSL2311095917
RECORD_TITLE: Didesmethyl-citalopram; LC-ESI-QTOF; MS2; 140 V
DATE: 2025.01.13
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: Didesmethyl-citalopram
CH$COMPOUND_CLASS: Pharmaceutical; Metabolite; Transformation_product-Metabolite
CH$FORMULA: C18H17FN2O
CH$EXACT_MASS: 296.1325
CH$SMILES: c1cc(ccc1C2(c3ccc(cc3CO2)C#N)CCCN)F
CH$IUPAC: InChI=1S/C18H17FN2O/c19-16-5-3-15(4-6-16)18(8-1-9-20)17-7-2-13(11-21)10-14(17)12-22-18/h2-7,10H,1,8-9,12,20H2
CH$LINK: CAS 62498-69-5
CH$LINK: INCHIKEY RKUKMUWCRLRPEJ-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF 5600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 140
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 °C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 7.575 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 297.1398
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 24.4
PK$SPLASH: splash10-059t-7920000000-ce4c154802e85435b089
PK$NUM_PEAK: 158
PK$PEAK: m/z int. rel.int.
  51.0301 4.3 155
  57.0197 27.6 999
  59.0339 2.1 76
  60.0034 1.0 36
  61.0324 0.5 18
  65.0422 1.0 36
  68.0127 0.9 32
  69.0206 0.6 21
  70.0234 0.6 21
  73.01 2.2 79
  74.0186 22.7 821
  75.0265 14.9 539
  76.0338 1.9 68
  77.0425 3.1 112
  81.0153 4.3 155
  83.032 25.7 930
  83.0702 0.5 18
  84.0032 0.9 32
  85.0099 4.8 173
  86.0172 8.2 296
  87.0249 9.7 351
  88.0187 3.2 115
  88.0346 0.9 32
  89.0405 7.8 282
  90.0371 0.9 32
  92.0069 0.7 25
  94.0225 2.9 104
  95.0285 1.3 47
  96.0385 0.9 32
  97.0093 1.8 65
  98.0162 18.4 666
  99.0228 8.6 311
  100.0317 1.7 61
  102.0453 1.1 39
  105.0135 1.5 54
  106.0197 0.9 32
  107.0288 3.9 141
  109.0049 2.7 97
  109.0451 3.4 123
  110.0152 5.0 180
  111.0098 1.1 39
  111.023 4.8 173
  112.0175 0.7 25
  113.0385 4.1 148
  114.0333 1.8 65
  115.0545 1.6 57
  116.0055 0.6 21
  117.0132 0.5 18
  118.0197 1.4 50
  119.9964 0.6 21
  120.0379 2.0 72
  121.0066 1.9 68
  122.0158 12.5 452
  123.0222 7.0 253
  124.0289 1.7 61
  125.0364 1.2 43
  126.0465 2.5 90
  127.0486 1.5 54
  129.0131 0.8 28
  129.023 0.4 14
  130.0105 0.8 28
  131.0298 2.2 79
  132.0013 0.9 32
  133.0084 1.0 36
  133.0438 1.9 68
  134.015 3.5 126
  135.0058 0.7 25
  135.0221 1.8 65
  136.0165 0.5 18
  137.0383 1.9 68
  138.0359 0.6 21
  139.0567 0.5 18
