ACCESSION: MSBNK-BAFG-CSL25011734606
RECORD_TITLE: N-[2-[(2-Bromo-4,6-dinitrophenyl)azo]-5-(diethylamino)phenyl]acetamide; LC-ESI-QTOF; MS2; 100 V
DATE: 2025.01.17
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: N-[2-[(2-Bromo-4,6-dinitrophenyl)azo]-5-(diethylamino)phenyl]acetamide
CH$FORMULA: C18H19BrN6O5
CH$EXACT_MASS: 478.06
CH$SMILES: CCN(CC)C1=CC(=C(C=C1)N=NC2=C(C=C(C=C2Br)[N+](=O)[O-])[N+](=O)[O-])NC(=O)C
CH$IUPAC: InChI=1S/C18H19BrN6O5/c1-4-23(5-2)12-6-7-15(16(9-12)20-11(3)26)21-22-18-14(19)8-13(24(27)28)10-17(18)25(29)30/h6-10H,4-5H2,1-3H3,(H,20,26)
CH$LINK: CAS 52697-38-8
CH$LINK: INCHIKEY WFFKSTRPZWRBEW-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF 6600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 100
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 °C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 16.579 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 479.0673
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 25.0
PK$SPLASH: splash10-008c-3900000000-112b72256ecb741426b7
PK$NUM_PEAK: 115
PK$PEAK: m/z int. rel.int.
  42.0328 0.6 21
  43.017 3.3 115
  52.0316 1.0 35
  53.0384 0.5 17
  65.037 1.8 63
  66.0338 0.5 17
  66.0448 0.7 24
  67.0413 0.6 21
  68.0486 0.6 21
  69.0445 0.7 24
  77.037 3.8 133
  78.0325 2.3 80
  79.0295 0.7 24
  79.0394 3.6 126
  80.0481 17.3 606
  81.0571 1.3 45
  89.0362 0.7 24
  90.0317 1.0 35
  91.0411 0.8 28
  91.0535 1.3 45
  92.0475 6.2 217
  93.0559 24.0 841
  94.0637 8.0 280
  95.0603 0.9 31
  104.0489 2.2 77
  105.044 5.2 182
  106.0525 1.7 59
  106.0629 3.1 108
  107.0342 4.6 161
  107.0591 8.7 304
  108.0426 2.8 98
  108.0685 1.3 45
  108.0793 1.5 52
  109.0735 2.1 73
  116.0469 0.8 28
  117.0445 3.1 108
  117.0558 1.8 63
  118.0527 1.2 42
  118.0653 0.7 24
  119.0592 6.6 231
  120.0526 2.0 70
  120.0666 4.6 161
  121.054 0.8 28
  121.0749 28.5 999
  122.0604 1.0 35
  122.095 0.5 17
  123.0924 0.7 24
  128.0504 0.7 24
  129.0462 0.7 24
  131.0585 1.4 49
  132.0439 0.5 17
  133.0605 10.7 375
  133.0744 1.7 59
  134.0695 12.7 445
  135.0541 0.4 14
  135.0897 2.4 84
  136.0743 0.8 28
  139.0506 3.7 129
  140.0476 3.1 108
  145.0578 0.4 14
  145.0759 0.9 31
  146.0696 5.3 185
  147.0556 6.8 238
  147.0801 3.3 115
  148.0593 7.6 266
  148.082 1.9 66
  148.0999 0.9 31
  149.0739 0.4 14
  149.1072 2.1 73
  152.0461 1.2 42
  153.0432 0.9 31
  153.0598 0.8 28
  154.0642 0.7 24
  160.0878 0.5 17
  161.0683 3.4 119
  162.0749 0.5 17
  162.1007 1.2 42
  163.085 4.9 171
  164.0484 1.5 52
  165.0557 2.6 91
  166.0615 5.1 178
  167.058 0.5 17
  167.0707 0.7 24
  168.0657 0.5 17
  175.0762 1.0 35
  177.0488 0.5 17
  177.1032 0.7 24
  178.0514 0.9 31
  179.0586 2.2 77
  180.0547 0.6 21
  181.0669 0.7 24
  191.0611 1.4 49
  191.1167 1.9 66
  192.0529 0.6 21
  192.0665 1.6 56
  193.071 3.4 119
  194.0704 4.2 147
  205.0701 0.6 21
  206.0701 3.2 112
  207.0925 0.5 17
  218.074 0.8 28
  220.0891 0.4 14
  221.0792 5.2 182
  222.0631 0.8 28
  222.0943 0.4 14
  235.0989 0.5 17
  243.9738 0.5 17
  244.9744 0.6 21
  245.9805 0.5 17
  256.9717 0.7 24
  260.967 0.6 21
  265.1452 1.0 35
  271.991 0.8 28
  283.9873 2.3 80
  300.9845 0.5 17
//
