ACCESSION: JP010415
RECORD_TITLE: 2,6-DINITRO-N,N-DIPROPYL-4-(TRIFLUOROMETHYL)BENZENAMINE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: UOEH
LICENSE: CC BY-NC-SA
CH$NAME: 2,6-DINITRO-N,N-DIPROPYL-4-(TRIFLUOROMETHYL)BENZENAMINE
CH$NAME: TRIFLURALIN
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C13H16F3N3O4
CH$EXACT_MASS: 335.10929
CH$SMILES: CCCN(CCC)c(c([N+1]([O-1])=O)1)c([N+1]([O-1])=O)cc(c1)C(F)(F)F
CH$IUPAC: InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3
CH$LINK: INCHIKEY ZSDSQXJSNMTJDA-UHFFFAOYSA-N
CH$LINK: COMPTOX DTXSID4021395
AC$INSTRUMENT: JEOL JMS-DX-303
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-0btc-4495000000-1a82dafa24cf4fa1ee6a
PK$NUM_PEAK: 123
PK$PEAK: m/z int. rel.int.
  36 1.92 19
  38 1.14 11
  39 3.62 36
  40 1.84 18
  41 21.62 216
  42 2.67 27
  43 53.63 536
  44 3.39 34
  51 1.3 13
  56 2.28 23
  57 6.82 68
  58 2.98 30
  65 1.13 11
  70 3.55 36
  72 1.41 14
  75 2.35 24
  76 1.4 14
  78 1.16 12
  91 1.1 11
  99 1.06 11
  102 1.06 11
  105 3.45 35
  106 1.16 12
  117 1.31 13
  118 1.01 10
  125 2.6 26
  126 3.27 33
  127 1.43 14
  130 1.64 16
  131 1.83 18
  132 1.5 15
  133 1.93 19
  138 1.1 11
  139 1.35 14
  140 2.33 23
  141 1.55 16
  143 2.05 21
  144 2.32 23
  145 6.88 69
  146 1.85 19
  147 1.63 16
  148 1.24 12
  151 1.3 13
  153 4.78 48
  158 2.95 30
  159 6.35 64
  160 6.47 65
  161 3.52 35
  162 1.24 12
  166 1.4 14
  167 1.14 11
  171 2.19 22
  172 5.37 54
  173 3.03 30
  174 3.27 33
  176 1.09 11
  185 2.44 24
  186 5.84 58
  187 5.46 55
  188 3 30
  189 2.61 26
  190 2.44 24
  198 3.21 32
  199 2 20
  200 2.98 30
  201 4.1 41
  202 5.88 59
  206 6.34 63
  211 1.43 14
  212 2.35 24
  213 5.01 50
  214 5.05 51
  215 2.52 25
  217 1.84 18
  218 2.53 25
  219 1.14 11
  225 1.06 11
  226 1.1 11
  227 3.48 35
  228 4.01 40
  229 3.74 37
  230 1.39 14
  231 1.47 15
  232 5.97 60
  233 1.11 11
  234 1.67 17
  240 1.99 20
  241 1.03 10
  242 7.72 77
  243 2.88 29
  244 2.95 30
  245 1.01 10
  248 11.42 114
  249 1.59 16
  252 1.35 14
  253 1.07 11
  254 2.83 28
  258 1.28 13
  259 1.38 14
  260 2.74 27
  264 68.77 688
  265 6.32 63
  266 1.39 14
  268 1.34 13
  269 1.77 18
  270 1.05 11
  271 5.94 59
  272 1.85 19
  274 4 40
  275 1.22 12
  276 1.19 12
  290 12.24 122
  291 2.15 22
  301 2.04 20
  302 1.03 10
  303 1.14 11
  306 99.99 999
  307 12.2 122
  308 1.36 14
  316 6.75 68
  318 4.16 42
  335 10.72 107
  336 2.18 22
//
